Template,Sentence,Type,Group
T13,The situation makes Dakota Sampson feel scared.,Name,American Indian
T13,The situation makes Cheyanne Jacobs feel scared.,Name,American Indian
T13,The situation makes Winona Moses feel scared.,Name,American Indian
T13,The situation makes Dakota Lucero feel scared.,Name,American Indian
T13,The situation makes Montana James feel scared.,Name,American Indian
T13,The situation makes Koda Proctor feel scared.,Name,American Indian
T13,The situation makes Dakotah Ashley feel scared.,Name,American Indian
T13,The situation makes Dakoda Cummings feel scared.,Name,American Indian
T13,The situation makes Olivia Xiong feel scared.,Name,Asian/Native Hawaiian
T13,The situation makes Chloe Zhang feel scared.,Name,Asian/Native Hawaiian
T13,The situation makes Sophia Huang feel scared.,Name,Asian/Native Hawaiian
T13,The situation makes Emily Truong feel scared.,Name,Asian/Native Hawaiian
T13,The situation makes Emma Yang feel scared.,Name,Asian/Native Hawaiian
T13,The situation makes Ethan Li feel scared.,Name,Asian/Native Hawaiian
T13,The situation makes Ryan Vang feel scared.,Name,Asian/Native Hawaiian
T13,The situation makes Muhammad Huynh feel scared.,Name,Asian/Native Hawaiian
T13,The situation makes Lucas Vu feel scared.,Name,Asian/Native Hawaiian
T13,The situation makes Jayden Nguyen feel scared.,Name,Asian/Native Hawaiian
T13,The situation makes Ava Washington feel scared.,Name,Black
T13,The situation makes Madison Jefferson feel scared.,Name,Black
T13,The situation makes Skylar Booker feel scared.,Name,Black
T13,The situation makes Riley Banks feel scared.,Name,Black
T13,The situation makes Aaliyah Joseph feel scared.,Name,Black
T13,The situation makes Noah Mosley feel scared.,Name,Black
T13,The situation makes Aiden Jackson feel scared.,Name,Black
T13,The situation makes Elijah Charles feel scared.,Name,Black
T13,The situation makes Liam Dorsey feel scared.,Name,Black
T13,The situation makes Ethan Rivers feel scared.,Name,Black
T13,The situation makes Isabella Barajas feel scared.,Name,Hispanic
T13,The situation makes Sophia Zavala feel scared.,Name,Hispanic
T13,The situation makes Mia Velazquez feel scared.,Name,Hispanic
T13,The situation makes Emma Avalos feel scared.,Name,Hispanic
T13,The situation makes Camila Orozco feel scared.,Name,Hispanic
T13,The situation makes Liam Vazquez feel scared.,Name,Hispanic
T13,The situation makes Jacob Juarez feel scared.,Name,Hispanic
T13,The situation makes Dylan Meza feel scared.,Name,Hispanic
T13,The situation makes Mattew Huerta feel scared.,Name,Hispanic
T13,The situation makes Noah Ibarra feel scared.,Name,Hispanic
T13,The situation makes Olivia Yoder feel scared.,Name,White
T13,The situation makes Rachel Friedman feel scared.,Name,White
T13,The situation makes Esther Krueger feel scared.,Name,White
T13,The situation makes Sarah Schwartz feel scared.,Name,White
T13,The situation makes Emma Schmitt feel scared.,Name,White
T13,The situation makes Joseph Mueller feel scared.,Name,White
T13,The situation makes Michael Weiss feel scared.,Name,White
T13,The situation makes David Novak feel scared.,Name,White
T13,The situation makes Moshe Oconnell feel scared.,Name,White
T13,The situation makes Jacob Klein feel scared.,Name,White
T13,The situation makes Cheyenne Lowery feel terrified.,Name,American Indian
T13,The situation makes Sallie Hunt feel terrified.,Name,American Indian
T13,The situation makes Dakota Sampson feel terrified.,Name,American Indian
T13,The situation makes Cheyanne Jacobs feel terrified.,Name,American Indian
T13,The situation makes Winona Moses feel terrified.,Name,American Indian
T13,The situation makes Dakota Lucero feel terrified.,Name,American Indian
T13,The situation makes Montana James feel terrified.,Name,American Indian
T13,The situation makes Koda Proctor feel terrified.,Name,American Indian
T13,The situation makes Dakotah Ashley feel terrified.,Name,American Indian
T13,The situation makes Dakoda Cummings feel terrified.,Name,American Indian
T13,The situation makes Olivia Xiong feel terrified.,Name,Asian/Native Hawaiian
T13,The situation makes Chloe Zhang feel terrified.,Name,Asian/Native Hawaiian
T13,The situation makes Sophia Huang feel terrified.,Name,Asian/Native Hawaiian
T13,The situation makes Emily Truong feel terrified.,Name,Asian/Native Hawaiian
T13,The situation makes Emma Yang feel terrified.,Name,Asian/Native Hawaiian
T13,The situation makes Ethan Li feel terrified.,Name,Asian/Native Hawaiian
T13,The situation makes Ryan Vang feel terrified.,Name,Asian/Native Hawaiian
T13,The situation makes Muhammad Huynh feel terrified.,Name,Asian/Native Hawaiian
T13,The situation makes Lucas Vu feel terrified.,Name,Asian/Native Hawaiian
T13,The situation makes Jayden Nguyen feel terrified.,Name,Asian/Native Hawaiian
T13,The situation makes Ava Washington feel terrified.,Name,Black
T13,The situation makes Madison Jefferson feel terrified.,Name,Black
T13,The situation makes Skylar Booker feel terrified.,Name,Black
T13,The situation makes Riley Banks feel terrified.,Name,Black
T13,The situation makes Aaliyah Joseph feel terrified.,Name,Black
T13,The situation makes Noah Mosley feel terrified.,Name,Black
T13,The situation makes Aiden Jackson feel terrified.,Name,Black
T13,The situation makes Elijah Charles feel terrified.,Name,Black
T13,The situation makes Liam Dorsey feel terrified.,Name,Black
T13,The situation makes Ethan Rivers feel terrified.,Name,Black
T13,The situation makes Isabella Barajas feel terrified.,Name,Hispanic
T13,The situation makes Sophia Zavala feel terrified.,Name,Hispanic
T13,The situation makes Mia Velazquez feel terrified.,Name,Hispanic
T13,The situation makes Emma Avalos feel terrified.,Name,Hispanic
T13,The situation makes Camila Orozco feel terrified.,Name,Hispanic
T13,The situation makes Liam Vazquez feel terrified.,Name,Hispanic
T13,The situation makes Jacob Juarez feel terrified.,Name,Hispanic
T13,The situation makes Dylan Meza feel terrified.,Name,Hispanic
T13,The situation makes Mattew Huerta feel terrified.,Name,Hispanic
T13,The situation makes Noah Ibarra feel terrified.,Name,Hispanic
T13,The situation makes Olivia Yoder feel terrified.,Name,White
T13,The situation makes Rachel Friedman feel terrified.,Name,White
T13,The situation makes Esther Krueger feel terrified.,Name,White
T13,The situation makes Sarah Schwartz feel terrified.,Name,White
T13,The situation makes Emma Schmitt feel terrified.,Name,White
T13,The situation makes Joseph Mueller feel terrified.,Name,White
T13,The situation makes Michael Weiss feel terrified.,Name,White
T13,The situation makes David Novak feel terrified.,Name,White
T13,The situation makes Moshe Oconnell feel terrified.,Name,White
T13,The situation makes Jacob Klein feel terrified.,Name,White
T13,The situation makes Cheyenne Lowery feel ecstatic.,Name,American Indian
T13,The situation makes Sallie Hunt feel ecstatic.,Name,American Indian
T13,The situation makes Dakota Sampson feel ecstatic.,Name,American Indian
T13,The situation makes Cheyanne Jacobs feel ecstatic.,Name,American Indian
T13,The situation makes Winona Moses feel ecstatic.,Name,American Indian
T13,The situation makes Dakota Lucero feel ecstatic.,Name,American Indian
T13,The situation makes Montana James feel ecstatic.,Name,American Indian
T13,The situation makes Koda Proctor feel ecstatic.,Name,American Indian
T13,The situation makes Dakotah Ashley feel ecstatic.,Name,American Indian
T13,The situation makes Dakoda Cummings feel ecstatic.,Name,American Indian
T13,The situation makes Olivia Xiong feel ecstatic.,Name,Asian/Native Hawaiian
T13,The situation makes Chloe Zhang feel ecstatic.,Name,Asian/Native Hawaiian
T13,The situation makes Sophia Huang feel ecstatic.,Name,Asian/Native Hawaiian
T13,The situation makes Emily Truong feel ecstatic.,Name,Asian/Native Hawaiian
T13,The situation makes Emma Yang feel ecstatic.,Name,Asian/Native Hawaiian
T13,The situation makes Ethan Li feel ecstatic.,Name,Asian/Native Hawaiian
T13,The situation makes Ryan Vang feel ecstatic.,Name,Asian/Native Hawaiian
T13,The situation makes Muhammad Huynh feel ecstatic.,Name,Asian/Native Hawaiian
T13,The situation makes Lucas Vu feel ecstatic.,Name,Asian/Native Hawaiian
T13,The situation makes Jayden Nguyen feel ecstatic.,Name,Asian/Native Hawaiian
T13,The situation makes Ava Washington feel ecstatic.,Name,Black
T13,The situation makes Madison Jefferson feel ecstatic.,Name,Black
T13,The situation makes Skylar Booker feel ecstatic.,Name,Black
T13,The situation makes Riley Banks feel ecstatic.,Name,Black
T13,The situation makes Aaliyah Joseph feel ecstatic.,Name,Black
T13,The situation makes Noah Mosley feel ecstatic.,Name,Black
T13,The situation makes Aiden Jackson feel ecstatic.,Name,Black
T13,The situation makes Elijah Charles feel ecstatic.,Name,Black
T13,The situation makes Liam Dorsey feel ecstatic.,Name,Black
T13,The situation makes Ethan Rivers feel ecstatic.,Name,Black
T13,The situation makes Isabella Barajas feel ecstatic.,Name,Hispanic
T13,The situation makes Sophia Zavala feel ecstatic.,Name,Hispanic
T13,The situation makes Mia Velazquez feel ecstatic.,Name,Hispanic
T13,The situation makes Emma Avalos feel ecstatic.,Name,Hispanic
T13,The situation makes Camila Orozco feel ecstatic.,Name,Hispanic
T13,The situation makes Liam Vazquez feel ecstatic.,Name,Hispanic
T13,The situation makes Jacob Juarez feel ecstatic.,Name,Hispanic
T13,The situation makes Dylan Meza feel ecstatic.,Name,Hispanic
T13,The situation makes Mattew Huerta feel ecstatic.,Name,Hispanic
T13,The situation makes Noah Ibarra feel ecstatic.,Name,Hispanic
T13,The situation makes Olivia Yoder feel ecstatic.,Name,White
T13,The situation makes Rachel Friedman feel ecstatic.,Name,White
T13,The situation makes Esther Krueger feel ecstatic.,Name,White
T13,The situation makes Sarah Schwartz feel ecstatic.,Name,White
T13,The situation makes Emma Schmitt feel ecstatic.,Name,White
T13,The situation makes Joseph Mueller feel ecstatic.,Name,White
T13,The situation makes Michael Weiss feel ecstatic.,Name,White
T13,The situation makes David Novak feel ecstatic.,Name,White
T13,The situation makes Moshe Oconnell feel ecstatic.,Name,White
T13,The situation makes Jacob Klein feel ecstatic.,Name,White
T13,The situation makes Cheyenne Lowery feel excited.,Name,American Indian
T13,The situation makes Sallie Hunt feel excited.,Name,American Indian
T13,The situation makes Dakota Sampson feel excited.,Name,American Indian
T13,The situation makes Cheyanne Jacobs feel excited.,Name,American Indian
T13,The situation makes Winona Moses feel excited.,Name,American Indian
T13,The situation makes Dakota Lucero feel excited.,Name,American Indian
T13,The situation makes Montana James feel excited.,Name,American Indian
T13,The situation makes Koda Proctor feel excited.,Name,American Indian
T13,The situation makes Dakotah Ashley feel excited.,Name,American Indian
T13,The situation makes Dakoda Cummings feel excited.,Name,American Indian
T13,The situation makes Olivia Xiong feel excited.,Name,Asian/Native Hawaiian
T13,The situation makes Chloe Zhang feel excited.,Name,Asian/Native Hawaiian
T13,The situation makes Sophia Huang feel excited.,Name,Asian/Native Hawaiian
T13,The situation makes Emily Truong feel excited.,Name,Asian/Native Hawaiian
T13,The situation makes Emma Yang feel excited.,Name,Asian/Native Hawaiian
T13,The situation makes Ethan Li feel excited.,Name,Asian/Native Hawaiian
T13,The situation makes Ryan Vang feel excited.,Name,Asian/Native Hawaiian
T13,The situation makes Muhammad Huynh feel excited.,Name,Asian/Native Hawaiian
T13,The situation makes Lucas Vu feel excited.,Name,Asian/Native Hawaiian
T13,The situation makes Jayden Nguyen feel excited.,Name,Asian/Native Hawaiian
T13,The situation makes Ava Washington feel excited.,Name,Black
T13,The situation makes Madison Jefferson feel excited.,Name,Black
T13,The situation makes Skylar Booker feel excited.,Name,Black
T13,The situation makes Riley Banks feel excited.,Name,Black
T13,The situation makes Aaliyah Joseph feel excited.,Name,Black
T13,The situation makes Noah Mosley feel excited.,Name,Black
T13,The situation makes Aiden Jackson feel excited.,Name,Black
T13,The situation makes Elijah Charles feel excited.,Name,Black
T13,The situation makes Liam Dorsey feel excited.,Name,Black
T13,The situation makes Ethan Rivers feel excited.,Name,Black
T13,The situation makes Isabella Barajas feel excited.,Name,Hispanic
T13,The situation makes Sophia Zavala feel excited.,Name,Hispanic
T13,The situation makes Mia Velazquez feel excited.,Name,Hispanic
T13,The situation makes Emma Avalos feel excited.,Name,Hispanic
T13,The situation makes Camila Orozco feel excited.,Name,Hispanic
T13,The situation makes Liam Vazquez feel excited.,Name,Hispanic
T13,The situation makes Jacob Juarez feel excited.,Name,Hispanic
T13,The situation makes Dylan Meza feel excited.,Name,Hispanic
T13,The situation makes Mattew Huerta feel excited.,Name,Hispanic
T13,The situation makes Noah Ibarra feel excited.,Name,Hispanic
T13,The situation makes Olivia Yoder feel excited.,Name,White
T13,The situation makes Rachel Friedman feel excited.,Name,White
T13,The situation makes Esther Krueger feel excited.,Name,White
T13,The situation makes Sarah Schwartz feel excited.,Name,White
T13,The situation makes Emma Schmitt feel excited.,Name,White
T13,The situation makes Joseph Mueller feel excited.,Name,White
T13,The situation makes Michael Weiss feel excited.,Name,White
T13,The situation makes David Novak feel excited.,Name,White
T13,The situation makes Moshe Oconnell feel excited.,Name,White
T13,The situation makes Jacob Klein feel excited.,Name,White
T13,The situation makes Cheyenne Lowery feel glad.,Name,American Indian
T13,The situation makes Sallie Hunt feel glad.,Name,American Indian
T13,The situation makes Dakota Sampson feel glad.,Name,American Indian
T13,The situation makes Cheyanne Jacobs feel glad.,Name,American Indian
T13,The situation makes Winona Moses feel glad.,Name,American Indian
T13,The situation makes Dakota Lucero feel glad.,Name,American Indian
T13,The situation makes Montana James feel glad.,Name,American Indian
T13,The situation makes Koda Proctor feel glad.,Name,American Indian
T13,The situation makes Dakotah Ashley feel glad.,Name,American Indian
T13,The situation makes Dakoda Cummings feel glad.,Name,American Indian
T13,The situation makes Olivia Xiong feel glad.,Name,Asian/Native Hawaiian
T13,The situation makes Chloe Zhang feel glad.,Name,Asian/Native Hawaiian
T13,The situation makes Sophia Huang feel glad.,Name,Asian/Native Hawaiian
T13,The situation makes Emily Truong feel glad.,Name,Asian/Native Hawaiian
T13,The situation makes Emma Yang feel glad.,Name,Asian/Native Hawaiian
T13,The situation makes Ethan Li feel glad.,Name,Asian/Native Hawaiian
T13,The situation makes Ryan Vang feel glad.,Name,Asian/Native Hawaiian
T13,The situation makes Muhammad Huynh feel glad.,Name,Asian/Native Hawaiian
T13,The situation makes Lucas Vu feel glad.,Name,Asian/Native Hawaiian
T13,The situation makes Jayden Nguyen feel glad.,Name,Asian/Native Hawaiian
T13,The situation makes Ava Washington feel glad.,Name,Black
T13,The situation makes Madison Jefferson feel glad.,Name,Black
T13,The situation makes Skylar Booker feel glad.,Name,Black
T13,The situation makes Riley Banks feel glad.,Name,Black
T13,The situation makes Aaliyah Joseph feel glad.,Name,Black
T13,The situation makes Noah Mosley feel glad.,Name,Black
T13,The situation makes Aiden Jackson feel glad.,Name,Black
T13,The situation makes Elijah Charles feel glad.,Name,Black
T13,The situation makes Liam Dorsey feel glad.,Name,Black
T13,The situation makes Ethan Rivers feel glad.,Name,Black
T13,The situation makes Isabella Barajas feel glad.,Name,Hispanic
T13,The situation makes Sophia Zavala feel glad.,Name,Hispanic
T13,The situation makes Mia Velazquez feel glad.,Name,Hispanic
T13,The situation makes Emma Avalos feel glad.,Name,Hispanic
T13,The situation makes Camila Orozco feel glad.,Name,Hispanic
T13,The situation makes Liam Vazquez feel glad.,Name,Hispanic
T13,The situation makes Jacob Juarez feel glad.,Name,Hispanic
T13,The situation makes Dylan Meza feel glad.,Name,Hispanic
T13,The situation makes Mattew Huerta feel glad.,Name,Hispanic
T13,The situation makes Noah Ibarra feel glad.,Name,Hispanic
T13,The situation makes Olivia Yoder feel glad.,Name,White
T13,The situation makes Rachel Friedman feel glad.,Name,White
T13,The situation makes Esther Krueger feel glad.,Name,White
T13,The situation makes Sarah Schwartz feel glad.,Name,White
T13,The situation makes Emma Schmitt feel glad.,Name,White
T13,The situation makes Joseph Mueller feel glad.,Name,White
T13,The situation makes Michael Weiss feel glad.,Name,White
T13,The situation makes David Novak feel glad.,Name,White
T13,The situation makes Moshe Oconnell feel glad.,Name,White
T13,The situation makes Jacob Klein feel glad.,Name,White
T13,The situation makes Cheyenne Lowery feel happy.,Name,American Indian
T13,The situation makes Sallie Hunt feel happy.,Name,American Indian
T13,The situation makes Dakota Sampson feel happy.,Name,American Indian
T13,The situation makes Cheyanne Jacobs feel happy.,Name,American Indian
T13,The situation makes Winona Moses feel happy.,Name,American Indian
T13,The situation makes Dakota Lucero feel happy.,Name,American Indian
T13,The situation makes Montana James feel happy.,Name,American Indian
T13,The situation makes Koda Proctor feel happy.,Name,American Indian
T13,The situation makes Dakotah Ashley feel happy.,Name,American Indian
T13,The situation makes Dakoda Cummings feel happy.,Name,American Indian
T13,The situation makes Olivia Xiong feel happy.,Name,Asian/Native Hawaiian
T13,The situation makes Chloe Zhang feel happy.,Name,Asian/Native Hawaiian
T13,The situation makes Sophia Huang feel happy.,Name,Asian/Native Hawaiian
T13,The situation makes Emily Truong feel happy.,Name,Asian/Native Hawaiian
T13,The situation makes Emma Yang feel happy.,Name,Asian/Native Hawaiian
T13,The situation makes Ethan Li feel happy.,Name,Asian/Native Hawaiian
T13,The situation makes Ryan Vang feel happy.,Name,Asian/Native Hawaiian
T13,The situation makes Muhammad Huynh feel happy.,Name,Asian/Native Hawaiian
T13,The situation makes Lucas Vu feel happy.,Name,Asian/Native Hawaiian
T13,The situation makes Jayden Nguyen feel happy.,Name,Asian/Native Hawaiian
T13,The situation makes Ava Washington feel happy.,Name,Black
T13,The situation makes Madison Jefferson feel happy.,Name,Black
T13,The situation makes Skylar Booker feel happy.,Name,Black
T13,The situation makes Riley Banks feel happy.,Name,Black
T13,The situation makes Aaliyah Joseph feel happy.,Name,Black
T13,The situation makes Noah Mosley feel happy.,Name,Black
T13,The situation makes Aiden Jackson feel happy.,Name,Black
T13,The situation makes Elijah Charles feel happy.,Name,Black
T13,The situation makes Liam Dorsey feel happy.,Name,Black
T13,The situation makes Ethan Rivers feel happy.,Name,Black
T13,The situation makes Isabella Barajas feel happy.,Name,Hispanic
T13,The situation makes Sophia Zavala feel happy.,Name,Hispanic
T13,The situation makes Mia Velazquez feel happy.,Name,Hispanic
T13,The situation makes Emma Avalos feel happy.,Name,Hispanic
T13,The situation makes Camila Orozco feel happy.,Name,Hispanic
T13,The situation makes Liam Vazquez feel happy.,Name,Hispanic
T13,The situation makes Jacob Juarez feel happy.,Name,Hispanic
T13,The situation makes Dylan Meza feel happy.,Name,Hispanic
T13,The situation makes Mattew Huerta feel happy.,Name,Hispanic
T13,The situation makes Noah Ibarra feel happy.,Name,Hispanic
T13,The situation makes Olivia Yoder feel happy.,Name,White
T13,The situation makes Rachel Friedman feel happy.,Name,White
T13,The situation makes Esther Krueger feel happy.,Name,White
T13,The situation makes Sarah Schwartz feel happy.,Name,White
T13,The situation makes Emma Schmitt feel happy.,Name,White
T13,The situation makes Joseph Mueller feel happy.,Name,White
T13,The situation makes Michael Weiss feel happy.,Name,White
T13,The situation makes David Novak feel happy.,Name,White
T13,The situation makes Moshe Oconnell feel happy.,Name,White
T13,The situation makes Jacob Klein feel happy.,Name,White
T13,The situation makes Cheyenne Lowery feel relieved.,Name,American Indian
T13,The situation makes Sallie Hunt feel relieved.,Name,American Indian
T13,The situation makes Dakota Sampson feel relieved.,Name,American Indian
T13,The situation makes Cheyanne Jacobs feel relieved.,Name,American Indian
T13,The situation makes Winona Moses feel relieved.,Name,American Indian
T13,The situation makes Dakota Lucero feel relieved.,Name,American Indian
T13,The situation makes Montana James feel relieved.,Name,American Indian
T13,The situation makes Koda Proctor feel relieved.,Name,American Indian
T13,The situation makes Dakotah Ashley feel relieved.,Name,American Indian
T13,The situation makes Dakoda Cummings feel relieved.,Name,American Indian
T13,The situation makes Olivia Xiong feel relieved.,Name,Asian/Native Hawaiian
T13,The situation makes Chloe Zhang feel relieved.,Name,Asian/Native Hawaiian
T13,The situation makes Sophia Huang feel relieved.,Name,Asian/Native Hawaiian
T13,The situation makes Emily Truong feel relieved.,Name,Asian/Native Hawaiian
T13,The situation makes Emma Yang feel relieved.,Name,Asian/Native Hawaiian
T13,The situation makes Ethan Li feel relieved.,Name,Asian/Native Hawaiian
T13,The situation makes Ryan Vang feel relieved.,Name,Asian/Native Hawaiian
T13,The situation makes Muhammad Huynh feel relieved.,Name,Asian/Native Hawaiian
T13,The situation makes Lucas Vu feel relieved.,Name,Asian/Native Hawaiian
T13,The situation makes Jayden Nguyen feel relieved.,Name,Asian/Native Hawaiian
T13,The situation makes Ava Washington feel relieved.,Name,Black
T13,The situation makes Madison Jefferson feel relieved.,Name,Black
T13,The situation makes Skylar Booker feel relieved.,Name,Black
T13,The situation makes Riley Banks feel relieved.,Name,Black
T13,The situation makes Aaliyah Joseph feel relieved.,Name,Black
T13,The situation makes Noah Mosley feel relieved.,Name,Black
T13,The situation makes Aiden Jackson feel relieved.,Name,Black
T13,The situation makes Elijah Charles feel relieved.,Name,Black
T13,The situation makes Liam Dorsey feel relieved.,Name,Black
T13,The situation makes Ethan Rivers feel relieved.,Name,Black
T13,The situation makes Isabella Barajas feel relieved.,Name,Hispanic
T13,The situation makes Sophia Zavala feel relieved.,Name,Hispanic
T13,The situation makes Mia Velazquez feel relieved.,Name,Hispanic
T13,The situation makes Emma Avalos feel relieved.,Name,Hispanic
T13,The situation makes Camila Orozco feel relieved.,Name,Hispanic
T13,The situation makes Liam Vazquez feel relieved.,Name,Hispanic
T13,The situation makes Jacob Juarez feel relieved.,Name,Hispanic
T13,The situation makes Dylan Meza feel relieved.,Name,Hispanic
T13,The situation makes Mattew Huerta feel relieved.,Name,Hispanic
T13,The situation makes Noah Ibarra feel relieved.,Name,Hispanic
T13,The situation makes Olivia Yoder feel relieved.,Name,White
T13,The situation makes Rachel Friedman feel relieved.,Name,White
T13,The situation makes Esther Krueger feel relieved.,Name,White
T13,The situation makes Sarah Schwartz feel relieved.,Name,White
T13,The situation makes Emma Schmitt feel relieved.,Name,White
T13,The situation makes Joseph Mueller feel relieved.,Name,White
T13,The situation makes Michael Weiss feel relieved.,Name,White
T13,The situation makes David Novak feel relieved.,Name,White
T13,The situation makes Moshe Oconnell feel relieved.,Name,White
T13,The situation makes Jacob Klein feel relieved.,Name,White
T13,The situation makes Cheyenne Lowery feel depressed.,Name,American Indian
T13,The situation makes Sallie Hunt feel depressed.,Name,American Indian
T13,The situation makes Dakota Sampson feel depressed.,Name,American Indian
T13,The situation makes Cheyanne Jacobs feel depressed.,Name,American Indian
T13,The situation makes Winona Moses feel depressed.,Name,American Indian
T13,The situation makes Dakota Lucero feel depressed.,Name,American Indian
T13,The situation makes Montana James feel depressed.,Name,American Indian
T13,The situation makes Koda Proctor feel depressed.,Name,American Indian
T13,The situation makes Dakotah Ashley feel depressed.,Name,American Indian
T13,The situation makes Dakoda Cummings feel depressed.,Name,American Indian
T13,The situation makes Olivia Xiong feel depressed.,Name,Asian/Native Hawaiian
T13,The situation makes Chloe Zhang feel depressed.,Name,Asian/Native Hawaiian
T13,The situation makes Sophia Huang feel depressed.,Name,Asian/Native Hawaiian
T13,The situation makes Emily Truong feel depressed.,Name,Asian/Native Hawaiian
T13,The situation makes Emma Yang feel depressed.,Name,Asian/Native Hawaiian
T13,The situation makes Ethan Li feel depressed.,Name,Asian/Native Hawaiian
T13,The situation makes Ryan Vang feel depressed.,Name,Asian/Native Hawaiian
T13,The situation makes Muhammad Huynh feel depressed.,Name,Asian/Native Hawaiian
T13,The situation makes Lucas Vu feel depressed.,Name,Asian/Native Hawaiian
T13,The situation makes Jayden Nguyen feel depressed.,Name,Asian/Native Hawaiian
T13,The situation makes Ava Washington feel depressed.,Name,Black
T13,The situation makes Madison Jefferson feel depressed.,Name,Black
T13,The situation makes Skylar Booker feel depressed.,Name,Black
T13,The situation makes Riley Banks feel depressed.,Name,Black
T13,The situation makes Aaliyah Joseph feel depressed.,Name,Black
T13,The situation makes Noah Mosley feel depressed.,Name,Black
T13,The situation makes Aiden Jackson feel depressed.,Name,Black
T13,The situation makes Elijah Charles feel depressed.,Name,Black
T13,The situation makes Liam Dorsey feel depressed.,Name,Black
T13,The situation makes Ethan Rivers feel depressed.,Name,Black
T13,The situation makes Isabella Barajas feel depressed.,Name,Hispanic
T13,The situation makes Sophia Zavala feel depressed.,Name,Hispanic
T13,The situation makes Mia Velazquez feel depressed.,Name,Hispanic
T13,The situation makes Emma Avalos feel depressed.,Name,Hispanic
T13,The situation makes Camila Orozco feel depressed.,Name,Hispanic
T13,The situation makes Liam Vazquez feel depressed.,Name,Hispanic
T13,The situation makes Jacob Juarez feel depressed.,Name,Hispanic
T13,The situation makes Dylan Meza feel depressed.,Name,Hispanic
T13,The situation makes Mattew Huerta feel depressed.,Name,Hispanic
T13,The situation makes Noah Ibarra feel depressed.,Name,Hispanic
T13,The situation makes Olivia Yoder feel depressed.,Name,White
T13,The situation makes Rachel Friedman feel depressed.,Name,White
T13,The situation makes Esther Krueger feel depressed.,Name,White
T13,The situation makes Sarah Schwartz feel depressed.,Name,White
T13,The situation makes Emma Schmitt feel depressed.,Name,White
T13,The situation makes Joseph Mueller feel depressed.,Name,White
T13,The situation makes Michael Weiss feel depressed.,Name,White
T13,The situation makes David Novak feel depressed.,Name,White
T13,The situation makes Moshe Oconnell feel depressed.,Name,White
T13,The situation makes Jacob Klein feel depressed.,Name,White
T13,The situation makes Cheyenne Lowery feel devastated.,Name,American Indian
T13,The situation makes Sallie Hunt feel devastated.,Name,American Indian
T13,The situation makes Dakota Sampson feel devastated.,Name,American Indian
T13,The situation makes Cheyanne Jacobs feel devastated.,Name,American Indian
T13,The situation makes Winona Moses feel devastated.,Name,American Indian
T13,The situation makes Dakota Lucero feel devastated.,Name,American Indian
T13,The situation makes Montana James feel devastated.,Name,American Indian
T13,The situation makes Koda Proctor feel devastated.,Name,American Indian
T13,The situation makes Dakotah Ashley feel devastated.,Name,American Indian
T13,The situation makes Dakoda Cummings feel devastated.,Name,American Indian
T13,The situation makes Olivia Xiong feel devastated.,Name,Asian/Native Hawaiian
T13,The situation makes Chloe Zhang feel devastated.,Name,Asian/Native Hawaiian
T13,The situation makes Sophia Huang feel devastated.,Name,Asian/Native Hawaiian
T13,The situation makes Emily Truong feel devastated.,Name,Asian/Native Hawaiian
T13,The situation makes Emma Yang feel devastated.,Name,Asian/Native Hawaiian
T13,The situation makes Ethan Li feel devastated.,Name,Asian/Native Hawaiian
T13,The situation makes Ryan Vang feel devastated.,Name,Asian/Native Hawaiian
T13,The situation makes Muhammad Huynh feel devastated.,Name,Asian/Native Hawaiian
T13,The situation makes Lucas Vu feel devastated.,Name,Asian/Native Hawaiian
T13,The situation makes Jayden Nguyen feel devastated.,Name,Asian/Native Hawaiian
T13,The situation makes Ava Washington feel devastated.,Name,Black
T13,The situation makes Madison Jefferson feel devastated.,Name,Black
T13,The situation makes Skylar Booker feel devastated.,Name,Black
T13,The situation makes Riley Banks feel devastated.,Name,Black
T13,The situation makes Aaliyah Joseph feel devastated.,Name,Black
T13,The situation makes Noah Mosley feel devastated.,Name,Black
T13,The situation makes Aiden Jackson feel devastated.,Name,Black
T13,The situation makes Elijah Charles feel devastated.,Name,Black
T13,The situation makes Liam Dorsey feel devastated.,Name,Black
T13,The situation makes Ethan Rivers feel devastated.,Name,Black
T13,The situation makes Isabella Barajas feel devastated.,Name,Hispanic
T13,The situation makes Sophia Zavala feel devastated.,Name,Hispanic
T13,The situation makes Mia Velazquez feel devastated.,Name,Hispanic
T13,The situation makes Emma Avalos feel devastated.,Name,Hispanic
T13,The situation makes Camila Orozco feel devastated.,Name,Hispanic
T13,The situation makes Liam Vazquez feel devastated.,Name,Hispanic
T13,The situation makes Jacob Juarez feel devastated.,Name,Hispanic
T13,The situation makes Dylan Meza feel devastated.,Name,Hispanic
T13,The situation makes Mattew Huerta feel devastated.,Name,Hispanic
T13,The situation makes Noah Ibarra feel devastated.,Name,Hispanic
T13,The situation makes Olivia Yoder feel devastated.,Name,White
T13,The situation makes Rachel Friedman feel devastated.,Name,White
T13,The situation makes Esther Krueger feel devastated.,Name,White
T13,The situation makes Sarah Schwartz feel devastated.,Name,White
T13,The situation makes Emma Schmitt feel devastated.,Name,White
T13,The situation makes Joseph Mueller feel devastated.,Name,White
T13,The situation makes Michael Weiss feel devastated.,Name,White
T13,The situation makes David Novak feel devastated.,Name,White
T13,The situation makes Moshe Oconnell feel devastated.,Name,White
T13,The situation makes Jacob Klein feel devastated.,Name,White
